tree_size,count,reads,avg_reads,writes,avg_writes,visited,avg_visited,skipped,avg_skipped,gc_pruned,avg_gc_pruned
1,192877,232224,1.20,185060,0.96,598065,3.10,0,0.00,0,0.00
2,68776,74814,1.09,131881,1.92,619526,9.01,64509,0.94,34,0.00
3,14973,23941,1.60,25093,1.68,265655,17.74,11970,0.80,291,0.02
4,2131,2938,1.38,2217,1.04,40669,19.08,674,0.32,111,0.05
5,4305,8013,1.86,3938,0.91,134288,31.19,10422,2.42,444,0.10
6,635,1234,1.94,1091,1.72,28111,44.27,3852,6.07,62,0.10
7,1341,45301,33.78,27552,20.55,342113,255.12,60949,45.45,332,0.25
8,509,1030,2.02,532,1.05,28128,55.26,1700,3.34,293,0.58
9,806,2442,3.03,483,0.60,60572,75.15,6494,8.06,663,0.82
10,148,250,1.69,135,0.91,16251,109.80,473,3.20,18,0.12
11,424,854,2.01,411,0.97,45847,108.13,1834,4.33,421,0.99
12,353,1052,2.98,309,0.88,34267,97.07,5703,16.16,134,0.38
13,161,693,4.30,269,1.67,27244,169.22,2488,15.45,153,0.95
14,309,410,1.33,332,1.07,43144,139.62,2523,8.17,275,0.89
15,542,1155,2.13,523,0.96,83080,153.28,7098,13.10,176,0.32
16,281,787,2.80,297,1.06,54930,195.48,3418,12.16,1141,4.06
17,334,1148,3.44,640,1.92,75880,227.19,9366,28.04,462,1.38
18,73,160,2.19,132,1.81,16166,221.45,592,8.11,842,11.53
19,230,556,2.42,288,1.25,55680,242.09,3413,14.84,460,2.00
20,49,113,2.31,61,1.24,11650,237.76,925,18.88,20,0.41
21,82,604,7.37,118,1.44,29540,360.24,4853,59.18,340,4.15
22,252,541,2.15,367,1.46,79391,315.04,3712,14.73,225,0.89
23,149,540,3.62,197,1.32,41101,275.85,5534,37.14,185,1.24
24,202,881,4.36,624,3.09,134594,666.31,7405,36.66,165,0.82
25,69,367,5.32,268,3.88,28148,407.94,4086,59.22,574,8.32
26,76,459,6.04,291,3.83,54299,714.46,2998,39.45,80,1.05
27,33,408,12.36,104,3.15,15919,482.39,3874,117.39,21,0.64
28,214,2261,10.57,1443,6.74,272406,1272.93,10913,51.00,265,1.24
29,9,105,11.67,46,5.11,4556,506.22,1659,184.33,17,1.89
30,28,173,6.18,30,1.07,6611,236.11,1149,41.04,232,8.29
31,56,221,3.95,40,0.71,36745,656.16,3831,68.41,1293,23.09
32,34,313,9.21,69,2.03,23774,699.24,5354,157.47,89,2.62
