tree_size,count,reads,avg_reads,writes,avg_writes,visited,avg_visited,skipped,avg_skipped,gc_pruned,avg_gc_pruned
1,5878382,7824987,1.33,5874820,1.00,19258423,3.28,0,0.00,0,0.00
2,1878085,2123454,1.13,3371790,1.80,16767968,8.93,1200321,0.64,115,0.00
3,448276,749616,1.67,608915,1.36,7021982,15.66,410159,0.91,1574,0.00
4,28255,64365,2.28,118667,4.20,759698,26.89,3684,0.13,93,0.00
5,186261,288872,1.55,144410,0.78,4996552,26.83,305316,1.64,3578,0.02
6,18722,33965,1.81,52281,2.79,809781,43.25,149829,8.00,6346,0.34
7,127303,353030,2.77,127321,1.00,7175250,56.36,462606,3.63,3806,0.03
8,272,758,2.79,342,1.26,17697,65.06,1240,4.56,173,0.64
9,16674,31067,1.86,1181,0.07,887179,53.21,89394,5.36,1078,0.06
10,118,181,1.53,111,0.94,13085,110.89,266,2.25,43,0.36
11,398,778,1.95,484,1.22,45409,114.09,1179,2.96,212,0.53
12,2608,5646,2.16,4971,1.91,501373,192.24,4210,1.61,79,0.03
13,6853,18670,2.72,72,0.01,562545,82.09,116164,16.95,892,0.13
14,7276,21801,3.00,7294,1.00,1940331,266.68,22040,3.03,1398,0.19
15,5838,24726,4.24,16117,2.76,1426576,244.36,86366,14.79,5179,0.89
16,219,1130,5.16,523,2.39,42495,194.04,8817,40.26,460,2.10
17,19861,60963,3.07,33439,1.68,4599125,231.57,585785,29.49,1767,0.09
18,64,81,1.27,64,1.00,11661,182.20,384,6.00,807,12.61
19,6025,38867,6.45,13031,2.16,2262243,375.48,184742,30.66,9311,1.55
20,39,86,2.21,39,1.00,9548,244.82,627,16.08,23,0.59
21,1577,7624,4.83,103,0.07,241448,153.11,96990,61.50,788,0.50
22,493,2335,4.74,1174,2.38,162568,329.75,23654,47.98,262,0.53
23,78,286,3.67,103,1.32,18575,238.14,2682,34.38,134,1.72
24,41,98,2.39,41,1.00,14257,347.73,2798,68.24,0,0.00
